item_id,item_name,item_amount,currency_id,currency_amount
19700,"Mithril Ore",12,1,-1440
19721,"Glob of Ectoplasm",26,,
19748,"Silk Scrap",12,,
19722,"Elder Wood Log",9,,
19729,"Thick Leather Section",4,,
19701,"Orichalcum Ore",2,,
89140,"Lucent Mote",36,,
26818,"Berserker's Iron Shield of Ogre Slaying",-1,,
26503,"Cleric's Iron Sword of Force",-1,,
45101,"Dire Conjurer Shoes of the Lich",-1,,
27140,"Rampager's Soft Wood Warhorn of Fire",-1,,
1141,"Shaman's Rogue Pauldrons of the Traveler",-1,,
2004,"Cleric's Rogue Gloves of the Eagle",-1,,
89182,"Symbol of Pain",1,,
28718,"Cleric's Black Earth Trident of Fire",-1,,
26657,"Rampager's Soft Wood Scepter of Fire",-1,,
28415,"Cleric's Steam Speargun of Water",-1,,
26488,"Berserker's Iron Sword of the Hydromancer",-1,,
28238,"Berserker's Iron Rifle of Life",-1,,
28224,"Rampager's Iron Rifle of Corruption",-1,,
1619,"Shaman's Banded Gauntlets of the Eagle",-1,,
992,"Shaman's Conjurer Shoes of Divinity",-1,,
2103,"Rampager's Banded Legs of the Afflicted",-1,,
1849,"Cleric's Banded Helm of Rage",-1,,
27928,"Rampager's Iron Hammer of Bloodlust",-1,,
2519,"Carrion Conjurer Mask of Dwayna",-1,,
23260,"Shaman's Ring",-1,,
610,"Cleric's Marauder Mask of Vampirism",-1,,
27605,"Cleric's Iron Greatsword of Venom",-1,,
28710,"Rampager's Black Earth Trident of Leeching",-1,,
27446,"Berserker's Soft Wood Torch of Restoration",-1,,
2524,"Rampager's Conjurer Mask of the Citadel",-1,,
