item_id,item_name,item_amount,currency_id,currency_amount
19700,"Mithril Ore",12,1,-1500
19721,"Glob of Ectoplasm",26,,
19748,"Silk Scrap",1,,
19722,"Elder Wood Log",9,,
19729,"Thick Leather Section",6,,
19725,"Ancient Wood Log",2,,
19701,"Orichalcum Ore",1,,
89140,"Lucent Mote",38,,
19745,"Gossamer Scrap",1,,
19732,"Hardened Leather Section",1,,
26375,"Cleric's Iron Dagger of Battle",-1,,
27603,"Cleric's Iron Greatsword of Perception",-1,,
45120,"Dire Privateer Boots of Dwayna",-1,,
83499,"Elonian Standard",-1,,
1835,"Cleric's Rogue Coat of Divinity",-1,,
84329,"Elonian Pocketbow",-1,,
2832,"Shaman's Conjurer Mantle of Strength",-1,,
28415,"Cleric's Steam Speargun of Water",-1,,
1613,"Rampager's Banded Gauntlets of the Afflicted",-1,,
45129,"Dire Marauder Mask of the Afflicted",-1,,
26511,"Berserker's Iron Sword of Serpent Slaying",-1,,
26516,"Rampager's Iron Sword of Battle",-1,,
27614,"Rampager's Iron Greatsword of Earth",-1,,
1598,"Rampager's Privateer Boots of Infiltration",-1,,
727,"Rampager's Banded Greaves of Balthazar",-1,,
28251,"Cleric's Iron Rifle of Ice",-1,,
27293,"Cleric's Soft Wood Focus of Bloodlust",-1,,
28075,"Berserker's Soft Wood Short Bow of Peril",-1,,
82680,"Elonian Warsickle",-1,,
27159,"Cleric's Soft Wood Warhorn of Blood",-1,,
27775,"Cleric's Soft Wood Staff of Force",-1,,
1546,"Berserker's Privateer Boots of Grenth",-1,,
28791,"Berserker's Iron Spear of Energy",-1,,
28414,"Cleric's Steam Speargun of Venom",-1,,
45108,"Dire Conjurer Gloves of the Grove",-1,,
