item_id,item_name,item_amount,currency_id,currency_amount
83757,"Congealed Putrescence",1,1,-2100
19748,"Silk Scrap",6,,
19700,"Mithril Ore",23,,
19722,"Elder Wood Log",15,,
89140,"Lucent Mote",39,,
19729,"Thick Leather Section",9,,
19725,"Ancient Wood Log",2,,
84030,"Elonian Horn",-2,,
83380,"Elonian Sidearm",-1,,
84766,"Elonian Recurve",-1,,
1619,"Shaman's Banded Gauntlets of the Eagle",-1,,
998,"Cleric's Conjurer Shoes of the Pack",-1,,
26657,"Rampager's Soft Wood Scepter of Fire",-1,,
26832,"Cleric's Iron Shield of Water",-1,,
2096,"Carrion Banded Legs of Mercy",-1,,
1999,"Rampager's Rogue Gloves of the Afflicted",-1,,
27786,"Cleric's Soft Wood Staff of Energy",-1,,
26122,"Cleric's Iron Mace of Chilling",-1,,
26998,"Cleric's Iron Pistol of Energy",-1,,
745,"Shaman's Banded Greaves of the Eagle",-1,,
45083,"Dire Banded Greaves of the Citadel",-1,,
1829,"Shaman's Rogue Coat of the Grove",-1,,
82611,"Elonian Cutlass",-2,,
2004,"Cleric's Rogue Gloves of the Eagle",-1,,
1848,"Cleric's Banded Helm of the Lich",-1,,
2365,"Cleric's Banded Pauldrons of Infiltration",-1,,
27465,"Berserker's Soft Wood Torch of Corruption",-1,,
2001,"Shaman's Rogue Gloves of Divinity",-1,,
28231,"Cleric's Iron Rifle of Corruption",-1,,
27460,"Cleric's Soft Wood Torch of the Hydromancer",-1,,
26818,"Berserker's Iron Shield of Ogre Slaying",-1,,
27147,"Cleric's Soft Wood Warhorn of Corruption",-1,,
82898,"Elonian Carver",-1,,
26372,"Rampager's Iron Dagger of Grawl Slaying",-1,,
983,"Rampager's Conjurer Shoes of Dwayna",-1,,
28563,"Cleric's Soft Wood Longbow of Energy",-1,,
19721,"Glob of Ectoplasm",32,,
84350,"Awakened Greatsword",-1,,
82395,"Elonian Matchlock",-1,,
25944,"Berserker's Iron Axe of Accuracy",-1,,
23175,"Carrion Amulet",-1,,
